Date / Time,Seconds taken,Kbps,Download size (bytes)
2016-03-17 22:08:01.795000,10.333,2315.0,3062059
2016-03-17 22:13:03.375000,9.833,2433.0,3062059
2016-03-17 22:18:05.450000,5.448,4391.0,3062059
2016-03-17 22:23:05.859000,1.757,13615.0,3062059
2016-03-17 22:28:08.523000,17.295,1383.0,3062059
2016-03-17 22:33:07.953000,1.331,17973.0,3062059
2016-03-17 22:38:10.786000,5.681,4211.0,3062059
2016-03-17 22:43:10.081000,5.122,4671.0,3062059
2016-03-17 22:48:12.215000,6.738,3550.0,3062059
2016-03-17 22:53:12.384000,4.105,5828.0,3062059
2016-03-17 22:58:14.610000,2.208,10834.0,3062059
2016-03-17 23:03:14.489000,1.676,14273.0,3062059
2016-03-17 23:08:15.734000,2.799,8547.0,3062059
2016-03-17 23:13:17.839000,1.875,12759.0,3062059
2016-03-17 23:18:20.891000,1.676,14273.0,3062059
2016-03-17 23:23:24.569000,1.477,16197.0,3062059
2016-03-17 23:28:19.591000,1.475,16219.0,3062059
2016-03-17 23:33:18.586000,1.819,13151.0,3062059
2016-03-17 23:38:19.752000,1.512,15822.0,3062059
2016-03-17 23:43:20.713000,4.102,5832.0,3062059
2016-03-17 23:48:21.748000,1.639,14596.0,3062059
2016-03-17 23:53:22.794000,1.326,18041.0,3062059
2016-03-17 23:58:23.815000,1.299,18416.0,3062059
2016-03-18 00:03:24.769000,1.315,18192.0,3062059
2016-03-18 00:08:25.769000,1.375,17398.0,3062059
2016-03-18 00:13:26.770000,2.023,11825.0,3062059
2016-03-18 00:18:27.770000,1.261,18971.0,3062059
2016-03-18 00:23:28.730000,1.251,19123.0,3062059
2016-03-18 00:28:29.784000,1.247,19184.0,3062059
2016-03-18 00:33:30.784000,1.268,18866.0,3062059
2016-03-18 00:38:31.788000,1.269,18851.0,3062059
2016-03-18 00:43:32.821000,1.278,18719.0,3062059
2016-03-18 00:48:33.768000,1.268,18866.0,3062059
2016-03-18 00:53:34.834000,1.279,18704.0,3062059
2016-03-18 00:58:47.065000,1.447,16532.0,3062059
2016-03-18 01:03:36.770000,1.251,19123.0,3062059
2016-03-18 01:08:37.816000,1.814,13188.0,3062059
2016-03-18 01:13:38.624000,1.258,19016.0,3062059
2016-03-18 01:18:39.641000,1.25,19138.0,3062059
2016-03-18 01:23:40.632000,1.266,18896.0,3062059
2016-03-18 01:28:41.623000,1.227,19497.0,3062059
2016-03-18 01:33:42.603000,1.221,19592.0,3062059
2016-03-18 01:38:43.627000,1.231,19433.0,3062059
2016-03-18 01:43:45.797000,1.26,18986.0,3062059
2016-03-18 01:48:45.629000,1.217,19657.0,3062059
2016-03-18 01:53:47.630000,1.268,18866.0,3062059
2016-03-18 01:58:47.654000,1.227,19497.0,3062059
2016-03-18 02:03:50.286000,1.271,18822.0,3062059
2016-03-18 02:08:50.674000,1.251,19123.0,3062059
2016-03-18 02:13:50.613000,1.223,19560.0,3062059
2016-03-18 02:18:52.699000,1.258,19016.0,3062059
2016-03-18 02:23:52.643000,1.223,19560.0,3062059
2016-03-18 02:28:53.659000,1.367,17500.0,3062059
2016-03-18 02:33:54.655000,1.223,19560.0,3062059
2016-03-18 02:38:55.789000,1.27,18836.0,3062059
2016-03-18 02:43:57.477000,1.279,18704.0,3062059
2016-03-18 02:48:57.705000,1.223,19560.0,3062059
2016-03-18 02:53:58.827000,1.364,17538.0,3062059
2016-03-18 02:58:59.862000,1.23,19449.0,3062059
2016-03-18 03:04:02.280000,1.276,18748.0,3062059
2016-03-18 03:09:03.425000,1.318,18150.0,3062059
2016-03-18 03:14:02.635000,1.296,18459.0,3062059
2016-03-18 03:19:03.646000,1.375,17398.0,3062059
2016-03-18 03:24:05.157000,1.222,19576.0,3062059
2016-03-18 03:29:05.632000,1.231,19433.0,3062059
2016-03-18 03:34:06.643000,1.389,17223.0,3062059
2016-03-18 03:39:07.624000,1.255,19062.0,3062059
2016-03-18 03:44:08.782000,1.233,19402.0,3062059
2016-03-18 03:49:09.662000,1.24,19292.0,3062059
2016-03-18 03:54:10.676000,1.341,17839.0,3062059
2016-03-18 03:59:11.631000,1.229,19465.0,3062059
2016-03-18 04:04:12.645000,1.226,19513.0,3062059
2016-03-18 04:09:13.685000,1.224,19544.0,3062059
2016-03-18 04:14:14.633000,1.231,19433.0,3062059
2016-03-18 04:19:15.657000,1.237,19339.0,3062059
2016-03-18 04:24:16.677000,1.24,19292.0,3062059
2016-03-18 04:29:17.646000,1.224,19544.0,3062059
2016-03-18 04:34:18.669000,1.223,19560.0,3062059
2016-03-18 04:39:19.661000,1.223,19560.0,3062059
2016-03-18 04:44:20.653000,1.234,19386.0,3062059
2016-03-18 04:49:21.662000,1.249,19153.0,3062059
2016-03-18 04:54:22.704000,1.227,19497.0,3062059
2016-03-18 04:59:23.635000,1.393,17173.0,3062059
2016-03-18 05:04:26.257000,1.281,18675.0,3062059
2016-03-18 05:09:25.662000,1.227,19497.0,3062059
2016-03-18 05:14:26.672000,1.32,18123.0,3062059
2016-03-18 05:19:32.920000,1.365,17526.0,3062059
2016-03-18 05:24:32.606000,1.466,16318.0,3062059
2016-03-18 05:29:30.120000,1.309,18275.0,3062059
2016-03-18 05:34:32.247000,1.252,19107.0,3062059
2016-03-18 05:39:31.804000,1.222,19576.0,3062059
